MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Villatobas|1.467|1.081|2.606|1.933|148|16.801|14.675
 Quismondo|764|582|1.594|1.934|149|16.800|14.622
 Villanueva de Alcardete|2.046|1.544|3.553|1.941|151|16.774|14.758
 Calera y Chozas|2.596|1.969|4.740|1.969|154|16.665|14.628
 Portillo de Toledo|1.148|862|2.210|1.976|156|16.642|14.478
 Ajofrín|1.352|1.074|2.336|1.983|157|16.626|14.353
 Santa Olalla|1.554|1.172|3.326|2.004|159|16.548|14.466
 Villacañas|5.707|4.303|10.089|2.029|163|16.482|14.510
 Dosbarrios|1.391|1.029|2.302|2.034|164|16.453|14.613
 Mejorada|629|476|1.320|2.037|165|16.442|14.258
 Pulgar|811|625|1.639|2.051|168|16.400|14.382
 Almorox|1.209|899|2.307|2.056|170|16.385|14.202
 Madridejos|6.181|4.571|10.970|2.068|172|16.339|14.219
 Escalonilla|777|585|1.478|2.076|174|16.317|14.227
 Villafranca de los Caballeros|2.898|2.179|5.259|2.083|175|16.298|14.333
 Gálvez|1.845|1.411|3.176|2.114|180|16.203|14.296
 Cazalegas|729|555|1.832|2.128|182|16.140|14.112
 Guardia, La|1.323|994|2.387|2.152|186|16.044|14.188
 Navalmorales, Los|1.247|917|2.835|2.160|188|16.014|14.042
 Mazarambroz|715|568|1.282|2.161|189|16.011|13.990
 Ventas con Peña Aguilera, Las|643|480|1.189|2.195|193|15.844|14.061
 Huerta de Valdecarábanos|1.072|819|1.817|2.205|195|15.811|13.950
 Menasalbas|1.598|1.202|2.938|2.206|196|15.808|13.843
 Puente del Arzobispo, El|659|497|1.340|2.213|198|15.783|13.801
 Malpica de Tajo|942|739|1.911|2.228|202|15.741|13.922
 Toboso, El|1.136|848|2.039|2.237|204|15.674|13.888
 Miguel Esteban|2.933|2.160|5.243|2.261|207|15.551|13.716
 Real de San Vicente, El|502|394|1.011|2.289|211|15.440|13.782
 Pueblanueva, La|1.139|871|2.352|2.359|221|15.167|13.443
 Urda|1.547|1.135|2.920|2.389|223|15.056|13.365
 Velada|1.356|1.021|2.899|2.396|224|15.030|13.225
 Lillo|1.765|1.278|2.898|2.413|228|14.973|13.355
 Puebla de Almoradiel, La|3.118|2.305|5.653|2.421|229|14.953|13.179
 Belvís de la Jara|810|592|1.698|2.429|231|14.929|13.377
 San Pablo de los Montes|1.192|887|1.960|2.445|234|14.891|13.078
 Villa de Don Fadrique, La|2.327|1.743|3.962|2.446|235|14.883|13.175
 Lagartera|768|598|1.505|2.475|239|14.788|13.095
 Navalcán|1.033|778|2.155|2.490|243|14.740|13.177
 Cebolla|1.685|1.259|3.607|2.518|248|14.584|12.986
 Navahermosa|1.995|1.514|3.972|2.557|252|14.450|12.779
 Carpio de Tajo, El|1.075|843|2.076|2.567|254|14.397|12.869
 Navalucillos, Los|1.256|941|2.426|2.666|266|14.019|12.627
 Alcaudete de la Jara|780|596|1.955|2.683|267|13.938|12.628
 Camuñas|1.041|777|1.841|2.688|268|13.913|12.468
 Agrupación municipios pequeños|21.644|16.623|44.003|-|-|16.328|14.361
 Castilla y León|1.481.358|1.233.469|2.494.790|||22.486|18.771
 Avila|92.606|75.008|167.015|||19.612|16.697
 Avila|36.696|31.150|58.933|464|31|24.322|20.144
 Arévalo|4.732|3.873|8.165|1.121|97|20.400|17.232
 Piedrahíta|1.149|931|1.990|1.513|158|18.528|15.962
 Arenas de San Pedro|3.722|2.914|6.754|1.546|162|18.430|15.765
 Adrada, La|1.161|899|2.663|1.555|164|18.367|15.650
 Navaluenga|903|686|2.027|1.710|187|17.722|15.242
 Barco de Avila, El|1.526|1.261|2.652|1.725|189|17.661|15.334
 Sotillo de la Adrada|2.118|1.649|4.705|1.759|192|17.495|15.115
 Navas del Marqués, Las|2.814|2.144|5.520|1.762|193|17.484|15.232
 Cebreros|1.696|1.276|3.302|1.772|195|17.436|15.144
 Tiemblo, El|2.096|1.591|4.301|1.834|205|17.174|14.916
 Piedralaves|1.108|893|2.265|2.214|228|15.778|13.592
 Mombeltrán|487|381|1.152|2.258|233|15.566|13.644
 Barraco, El|1.062|833|1.989|2.268|234|15.530|13.654
 Arenal, El|529|411|1.004|2.348|241|15.210|13.456
 Burgohondo|507|372|1.241|2.384|246|15.079|13.392
 Candeleda|2.567|1.993|5.143|2.498|252|14.709|12.895
 Madrigal de las Altas Torres|872|664|1.544|2.583|257|14.335|12.835
 Hoyo de Pinares, El|1.261|945|2.339|2.642|260|14.144|12.638
 Casavieja|678|506|1.536|2.679|262|13.955|12.362
 Agrupación municipios pequeños|24.922|19.636|47.790|-|-|14.899|13.304
 Burgos|226.248|193.799|366.900|||24.023|19.878
 Cardeñajimeno|593|506|1.011|53|2|32.581|25.644
 Burgos|117.912|102.276|177.776|285|10|25.937|21.261
 Condado de Treviño|958|861|1.398|330|16|25.417|20.741
 Alfoz de Quintanadueñas|1.131|981|1.995|348|18|25.210|20.708
 Miranda de Ebro|22.959|19.106|36.724|370|20|25.038|20.548
 Arcos|957|853|1.525|458|29|24.377|20.203
 Cardeñadijo|844|739|1.269|474|33|24.268|20.049
 Villagonzalo Pedernales|1.045|904|1.744|522|39|23.950|19.895
 Villalbilla de Burgos|774|700|1.256|526|40|23.905|19.850
 Ibeas de Juarros|789|688|1.426|564|43|23.695|19.467
 Aranda de Duero|21.502|17.948|33.065|585|46|23.582|19.612
 Merindad de Río Ubierna|702|607|1.411|655|51|23.051|19.189
 Medina de Pomar|3.471|2.879|5.933|698|56|22.812|18.817
 Valle de Mena|2.167|1.781|3.856|830|63|22.011|18.288
 Briviesca|4.493|3.805|7.276|1.071|88|20.640|17.540
 Belorado|1.205|997|2.010|1.093|92|20.549|17.401
 Salas de los Infantes|1.187|1.015|2.140|1.143|100|20.297|17.155
 Valle de Tobalina|408|377|1.006|1.172|107|20.165|16.950
 Villarcayo de Merindad de Castilla la Vieja|2.473|2.080|4.604|1.229|112|19.895|16.834
 Lerma|1.595|1.360|2.745|1.293|124|19.580|16.671
 Roa|1.414|1.203|2.443|1.360|133|19.270|16.581
 Villadiego|818|708|1.621|1.388|139|19.154|16.417
 Oña|430|381|1.109|1.563|166|18.317|15.840
 Sasamón|536|462|1.093|1.675|183|17.852|15.510
 Huerta de Rey|561|469|1.028|1.688|185|17.803|15.531
 Melgar de Fernamental|899|750|1.783|1.792|199|17.368|15.191
 Pradoluengo|725|617|1.315|1.872|209|16.999|14.842
 Espinosa de los Monteros|1.030|865|1.840|1.927|212|16.820|14.614
 Quintanar de la Sierra|1.015|826|1.939|2.376|245|15.098|13.376
 Agrupación municipios pequeños|31.655|27.055|62.559|-|-|19.210|16.428
 León|278.696|232.811|484.694|||22.435|18.718
 Sariegos|2.967|2.554|4.819|62|3|31.645|24.868
 León|83.942|72.068|129.551|189|7|27.161|22.189
 Robla, La|2.477|1.848|4.387|498|36|24.087|19.657
 Villablino|6.090|4.429|9.784|533|41|23.853|19.394
 Pola de Gordón, La|1.877|1.450|3.653|582|45|23.621|19.532
 Páramo del Sil|636|487|1.395|666|52|22.996|19.042
 Ponferrada|41.449|34.284|67.367|683|53|22.928|18.960
 Villaquilambre|11.139|9.635|18.456|692|54|22.849|18.975
 Igüeña|609|466|1.298|695|55|22.834|19.170
 Cuadros|992|819|1.998|842|64|21.921|18.295
 San Andrés del Rabanedo|18.206|15.251|31.741|869|65|21.777|18.279
 Torre del Bierzo|1.177|876|2.352|875|67|21.748|18.311
 Fabero|2.815|2.134|4.956|887|68|21.704|18.075
 Toreno|1.956|1.483|3.481|931|74|21.419|17.999
 Palacios del Sil|603|456|1.095|933|75|21.397|17.698
 Valdefresno|1.179|1.018|2.124|945|76|21.326|17.880
 Bembibre|5.334|4.147|9.631|949|77|21.301|17.907
 Folgoso de la Ribera|559|421|1.182|952|78|21.300|17.983
 Garrafe de Torío|622|529|1.409|971|80|21.232|17.876
 Valverde de la Virgen|3.920|3.329|7.275|1.011|81|21.021|17.784
 Astorga|7.087|5.883|11.633|1.147|101|20.289|17.231
 Cubillos del Sil|898|728|1.851|1.151|102|20.277|17.241
 Santovenia de la Valdoncina|1.064|886|1.996|1.160|103|20.225|17.009
 Congosto|833|660|1.615|1.163|105|20.216|17.131
 Vega de Espinareda|1.322|1.029|2.321|1.219|109|19.930|16.868
 Matallana de Torío|656|525|1.372|1.221|110|19.922|16.691
 Castropodame|852|672|1.753|1.245|113|19.801|16.843
 Onzonilla|970|810|1.798|1.251|115|19.780|16.797
 Valencia de Don Juan|2.995|2.458|5.204|1.276|119|19.675|16.808
 Sabero|590|463|1.275|1.279|120|19.650|16.869
 Bañeza, La|6.221|5.090|10.595|1.289|123|19.596|16.694
 Toral de los Vados|1.106|899|2.068|1.358|132|19.280|16.867
 Carracedelo|1.906|1.525|3.630|1.370|136|19.215|16.498
 Villasabariego|609|533|1.195|1.408|141|19.034|16.325
 Cabañas Raras|740|588|1.326|1.466|148|18.758|15.963
 Villadangos del Páramo|591|503|1.100|1.490|151|18.647|15.991
 Cistierna|1.826|1.468|3.489|1.491|152|18.641|15.972
 Sahagún|1.471|1.237|2.783|1.509|157|18.555|16.070
 Villarejo de Órbigo|1.869|1.571|3.194|1.542|161|18.444|15.898
 Cacabelos|3.067|2.494|5.337|1.566|167|18.307|15.763
 Santa María del Páramo|1.839|1.528|3.157|1.576|170|18.251|15.630
 Villaturiel|883|763|1.957|1.584|171|18.216|15.698
 Puente de Domingo Flórez|868|699|1.537|1.591|173|18.197|15.771
 Villamanín|466|380|1.053|1.604|175|18.132|15.480
 Chozas de Abajo|1.283|1.067|2.449|1.638|180|18.044|15.633
 Mansilla de las Mulas|884|744|1.859|1.703|186|17.763|15.381
 Camponaraya|2.214|1.805|4.131|1.755|191|17.505|15.010
 Villamañán|576|482|1.218|1.781|196|17.412|15.003
 Soto de la Vega|850|707|1.656|1.785|198|17.392|15.197
 Villafranca del Bierzo|1.716|1.449|3.251|1.811|203|17.288|15.015
 San Justo de la Vega|1.136|968|1.986|1.815|204|17.275|15.151
 Vegas del Condado|473|415|1.175|1.839|206|17.148|14.940
 Benavides|1.434|1.175|2.666|1.889|210|16.937|14.780
 Carrizo|1.481|1.237|2.433|1.943|213|16.757|14.606
 Boñar|917|748|1.997|1.974|215|16.649|14.605
 Santa Elena de Jamuz|535|428|1.155|2.043|219|16.428|14.511
 Valdevimbre|479|414|1.013|2.229|230|15.738|13.937
 Valderas|1.008|780|1.731|2.240|231|15.669|13.931
 Santa Marina del Rey|1.121|947|2.043|2.301|238|15.394|13.685
 Laguna de Negrillos|628|524|1.137|2.354|242|15.179|13.650
 Bustillo del Páramo|777|669|1.350|2.466|250|14.824|13.248
 Turcia|633|526|1.091|2.481|251|14.771|13.301
 Castrocalbón|447|337|1.050|2.530|254|14.535|13.007
 Corullón|543|450|1.007|2.574|256|14.372|12.952
 Valdepolo|614|529|1.297|2.653|261|14.102|12.585
 Agrupación municipios pequeños|29.669|25.334|65.806|-|-|15.681|13.874
 Palencia|100.402|83.616|167.609|||21.929|18.401
 Villalobón|943|824|1.542|289|11|25.891|21.266
 Grijota|1.327|1.122|2.059|307|15|25.699|21.027
 Palencia|50.514|42.795|80.178|475|34|24.255|20.107
 Villamuriel de Cerrato|3.865|3.133|6.450|806|62|22.174|18.579
 Guardo|4.095|3.225|6.724|891|69|21.682|18.060
 Venta de Baños|3.948|3.205|6.450|904|70|21.601|18.239
 Velilla del Río Carrión|738|570|1.437|917|71|21.520|17.937
 Aguilar de Campoo|4.692|4.049|7.088|965|79|21.262|17.708
 Magaz de Pisuerga|633|534|1.043|1.031|84|20.883|17.645
 Santibáñez de la Peña|592|472|1.121|1.039|85|20.824|17.609
 Dueñas|1.636|1.331|2.755|1.254|117|19.777|16.808
 Barruelo de Santullán|646|541|1.329|1.339|130|19.367|16.497
 Saldaña|1.924|1.598|3.149|1.352|131|19.306|16.308
 Osorno la Mayor|783|639|1.350|1.387|138|19.156|16.542
 Astudillo|551|468|1.031|1.420|143|18.996|16.270
 Cervera de Pisuerga|1.414|1.186|2.461|1.454|147|18.816|15.998
 Carrión de los Condes|1.255|1.040|2.198|1.610|177|18.124|15.690
 Villada|589|465|1.042|1.677|184|17.836|15.550
 Baltanás|816|660|1.286|1.798|200|17.340|15.115
 Torquemada|500|401|1.028|1.807|201|17.303|15.256
 Herrera de Pisuerga|1.226|1.017|2.180|1.808|202|17.299|14.995
 Paredes de Nava|1.166|943|1.997|2.172|226|15.945|14.072
 Agrupación municipios pequeños|16.549|13.398|31.711|-|-|17.034|14.911
 Salamanca|200.242|164.243|342.459|||21.663|18.148
 Cabrerizos|2.398|2.023|4.149|152|5|28.026|22.581
 Carrascal de Barregas|703|622|1.069|217|8|26.713|21.584
 Villamayor|4.015|3.372|6.941|293|12|25.872|21.038
 Carbajosa de la Sagrada|3.854|3.261|6.763|302|14|25.772|21.084
 Santa Marta de Tormes|9.036|7.463|15.011|332|17|25.399|20.619
 Monterrubio de Armuña|766|642|1.319|375|21|25.007|20.693
 Aldeatejada|1.119|988|1.673|387|22|24.926|20.486
 Salamanca|94.554|79.417|148.042|429|25|24.563|20.276
 Villares de la Reina|3.699|3.124|6.167|567|44|23.680|19.535
 Doñinos de Salamanca|1.086|927|1.911|709|58|22.774|19.119
 Pelabravo|585|472|1.102|784|61|22.298|18.586
 Castellanos de Moriscos|1.503|1.310|2.229|1.041|86|20.802|17.626
 San Cristóbal de la Cuesta|554|470|1.001|1.108|94|20.440|17.205
 Guijuelo|3.280|2.652|5.781|1.117|96|20.415|17.093
 Terradillos|1.658|1.310|3.202|1.417|142|19.001|16.186
 Alba de Tormes|3.011|2.372|5.341|1.448|145|18.840|16.058
 Calvarrasa de Abajo|604|496|1.140|1.548|163|18.419|15.807
 Fuentes de Oñoro|448|343|1.141|1.567|168|18.306|15.557
 Vitigudino|1.597|1.250|2.750|1.606|176|18.130|15.603
 Ciudad Rodrigo|8.232|6.474|13.209|1.637|179|18.047|15.559
 Béjar|7.947|6.552|13.951|1.667|182|17.887|15.444
 Alberca, La|544|450|1.126|1.764|194|17.462|15.129
 Peñaranda de Bracamonte|3.777|2.975|6.672|1.853|207|17.086|14.867
 AldeadAvila de la Ribera|574|446|1.288|2.024|217|16.499|14.586
 Ledesma|827|673|1.795|2.102|222|16.241|14.015
 Fuente de San Esteban, La|776|626|1.391|2.122|224|16.167|14.099
 Lumbrales|1.060|833|1.789|2.362|243|15.165|13.535
 Macotera|692|529|1.201|2.416|248|14.967|13.371
 Villoria|736|545|1.469|2.438|249|14.905|13.224
 Cantalapiedra|520|399|1.039|2.641|259|14.151|12.629
 Agrupación municipios pequeños|40.087|31.227|80.797|-|-|15.137|13.445
 Segovia|89.189|74.548|159.303|||22.027|18.521
 Lastrilla, La|2.111|1.829|3.605|178|6|27.337|22.150
 Palazuelos de Eresma|3.081|2.683|4.868|360|19|25.101|20.693
 Segovia|30.977|26.505|53.260|397|23|24.812|20.584
 Torrecaballeros|795|705|1.305|415|24|24.659|20.232
 San Cristóbal de Segovia|1.619|1.377|2.939|519|38|23.963|19.785
 Real Sitio de San Ildefonso|3.064|2.547|5.464|635|50|23.191|19.229
 Espinar, El|4.970|4.122|9.654|699|57|22.811|18.998
 Espirdo|722|643|1.088|776|59|22.340|18.336
 Valverde del Majano|598|532|1.061|923|72|21.485|18.185
 Hontanares de Eresma|768|682|1.248|1.086|90|20.580|17.530
 Riaza|1.028|863|2.382|1.127|98|20.374|17.169
 Nava de la Asunción|1.542|1.223|2.941|1.192|108|20.065|17.220
 Cantalejo|2.034|1.620|3.782|1.227|111|19.899|17.070
 Cuéllar|5.662|4.681|9.547|1.333|128|19.396|16.539
 Villacastín|782|603|1.542|1.336|129|19.376|16.777
 Carbonero el Mayor|1.386|1.125|2.577|1.368|135|19.229|16.584
 Cantimpalos|725|607|1.368|1.374|137|19.211|16.429
 Turégano|571|462|1.056|1.449|146|18.833|16.107
 Sepúlveda|643|527|1.193|1.474|149|18.737|16.144
 Ayllón|732|591|1.354|1.479|150|18.722|16.144
 Santa María la Real de Nieva|602|481|1.052|1.518|159|18.517|16.245
 Coca|1.043|827|1.943|1.571|169|18.275|15.817
 Navas de Oro|722|575|1.402|1.784|197|17.399|15.268
 Navalmanzano|620|502|1.145|2.055|220|16.386|14.375
 Agrupación municipios pequeños|22.392|18.236|41.527|-|-|18.739|16.168
 Soria|56.371|49.274|92.221|||21.638|18.197
 Soria|26.795|24.055|39.516|430|26|24.562|20.252
 Golmayo|1.493|1.346|2.391|438|27|24.509|20.250
 Almazán|3.545|3.005|5.744|1.017|82|20.971|17.630
 Olvega|2.201|1.939|3.814|1.111|95|20.426|17.409
 Burgo de Osma|2.955|2.553|5.153|1.162|104|20.217|17.211
 Agreda|1.976|1.693|3.084|1.261|118|19.749|16.916
 San Leonardo de Yagüe|1.187|995|2.219|1.427|144|18.940|16.493
 San Esteban de Gormaz|1.952|1.659|3.067|1.593|174|18.195|15.729
 Arcos de Jalón|932|770|1.707|1.646|181|17.996|15.751
 Duruelo de la Sierra|765|643|1.225|2.326|240|15.299|13.218
 Covaleda|1.101|895|1.809|2.517|253|14.587|12.899
 Agrupación municipios pequeños|11.469|9.721|22.492|-|-|17.376|15.246
 Valladolid|331.308|274.381|529.157|||24.186|19.985
 Simancas|3.222|2.777|5.331|22|1|38.738|29.725
 Boecillo|2.456|2.096|3.989|77|4|30.812|24.510
 Arroyo de la Encomienda|11.010|9.809|17.572|279|9|26.000|21.222
 Valladolid|204.075|170.221|306.830|301|13|25.774|21.143
 Zaratán|3.769|3.289|6.029|455|28|24.401|20.166
 Laguna de Duero|13.717|11.145|22.555|463|30|24.345|20.147
 Viana de Cega|1.137|941|2.031|466|32|24.314|19.901
 Renedo de Esgueva|2.182|1.858|3.507|477|35|24.250|19.983
 Fuensaldaña|880|762|1.468|500|37|24.076|19.788
 Cistérniga|5.419|4.585|8.734|622|48|23.246|19.349
 Aldeamayor de San Martín|3.315|2.860|4.891|629|49|23.207|19.300
 Villanubla|1.533|1.339|2.484|781|60|22.313|18.609
 Cabezón de Pisuerga|2.112|1.761|3.622|873|66|21.772|18.431
 Tudela de Duero|4.975|4.080|8.717|927|73|21.449|17.972
 Mojados|1.766|1.394|3.184|1.020|83|20.967|17.636
 Villanueva de Duero|619|495|1.202|1.054|87|20.732|17.390
 Santovenia de Pisuerga|2.502|2.079|4.155|1.076|89|20.608|17.501
 Cigales|2.915|2.430|5.008|1.092|91|20.551|17.387
 Tordesillas|5.208|4.193|8.973|1.095|93|20.532|17.275
 Peñafiel|3.069|2.491|5.428|1.165|106|20.206|17.113
 Portillo|1.510|1.176|2.409|1.249|114|19.793|16.925
 Seca, La|616|482|1.127|1.280|121|19.647|16.728
 Olmedo|2.108|1.717|3.759|1.282|122|19.638|16.777
 Medina del Campo|12.265|9.853|21.274|1.310|126|19.509|16.555
 Medina de Rioseco|2.717|2.160|4.906|1.316|127|19.477|16.593
 Serrada|695|535|1.184|1.367|134|19.246|16.542
 Pedraja de Portillo, La|651|497|1.134|1.504|155|18.580|15.901
 Quintanilla de Onésimo|558|466|1.109|1.507|156|18.566|15.828
 Matapozuelos|505|396|1.007|1.557|165|18.347|15.816
 Iscar|3.567|2.820|6.678|1.587|172|18.214|15.547
 Traspinedo|509|396|1.126|1.635|178|18.048|15.807
 Valdestillas|950|735|1.742|1.717|188|17.704|15.325
 Pedrajas de San Esteban|1.866|1.396|3.503|1.727|190|17.649|15.136
 Villalón de Campos|1.072|861|1.733|1.869|208|17.008|14.937
 Villabrágima|577|450|1.054|2.041|218|16.434|14.503
 Rueda|689|557|1.332|2.088|221|16.282|14.108
 Mayorga|799|670|1.687|2.133|225|16.111|14.052
 Carpio|636|465|1.068|2.250|232|15.614|13.814
 Nava del Rey|1.178|875|2.091|2.283|236|15.460|13.748
 Campaspero|686|541|1.174|2.325|239|15.308|13.667
 Alaejos|749|586|1.429|2.367|244|15.150|13.411
 Agrupación municipios pequeños|20.524|16.142|40.921|-|-|16.992|14.868
 Zamora|106.296|85.789|185.432|||19.239|16.443
 Morales del Vino|1.713|1.457|2.887|562|42|23.712|19.546
 Zamora|41.120|34.198|64.423|609|47|23.359|19.416
 Puebla de Sanabria|895|731|1.523|1.136|99|20.339|17.136
 Benavente|10.934|8.831|18.879|1.253|116|19.777|16.822
 Villaralbo|1.003|827|1.915|1.302|125|19.531|16.690
 Monfarracinos|556|452|1.001|1.394|140|19.136|16.401
 Coreses|569|450|1.069|1.500|153|18.587|16.230
 Moraleja del Vino|955|779|1.688|1.501|154|18.587|15.967
 Toro|5.555|4.407|9.305|1.533|160|18.489|15.934
 Galende|638|529|1.190|1.894|211|16.923|14.711
 Corrales del Vino|573|443|1.067|1.951|214|16.729|14.588
 Bermillo de Sayago|595|491|1.121|2.010|216|16.533|14.328
 Villalpando|815|652|1.551|2.116|223|16.196|14.089
 Santa Cristina de la Polvorosa|560|446|1.125|2.200|227|15.836|13.976
 Fuentesaúco|980|757|1.740|2.221|229|15.753|13.865
 San Cristóbal de Entreviñas|898|694|1.491|2.270|235|15.525|13.784
 Alcañices|542|444|1.101|2.288|237|15.441|13.698
 Santibáñez de Vidriales|614|502|1.067|2.397|247|15.029|13.503
 Fermoselle|748|590|1.337|2.568|255|14.395|12.923
 Morales de Toro|618|492|1.004|2.600|258|14.282|12.778
 Agrupación municipios pequeños|35.415|27.617|68.948|-|-|14.620|13.120
 Cataluña|3.957.433|3.465.173|7.516.738|||27.569|22.285
 Barcelona|2.952.707|2.591.846|5.523.784|||28.737|23.106
 Matadepera|4.714|4.285|8.841|2|1|50.012|37.445
 Sant Cugat del Vallès|45.796|41.752|87.118|6|2|46.184|34.539
 Cabrils|3.940|3.493|7.197|8|3|45.364|34.223
 Sant Vicenç de Montalt|3.023|2.679|6.007|9|4|45.097|34.083
 Sant Just Desvern|9.306|8.510|16.389|11|5|44.808|33.351
 Alella|5.383|4.864|9.651|12|6|43.958|33.242
 Avinyonet del Penedès|935|822|1.675|14|7|43.142|38.376
 Cabrera de Mar|2.450|2.187|4.525|15|8|41.951|32.394
 Teià|3.463|3.122|6.141|16|9|41.249|31.490
 Tiana|4.623|4.186|8.314|21|10|38.780|29.718
 Sant Quirze del Vallès|10.912|9.836|19.549|24|11|37.967|28.952
 Sant Andreu de Llavaneres|5.198|4.596|10.590|25|12|37.822|29.187
 Gurb|1.464|1.347|2.545|26|13|37.594|27.351
 Vallromanes|1.346|1.198|2.519|27|14|37.571|28.973
 Ametlla del Vallès, L|4.562|4.039|8.283|28|15|37.420|28.854
 Sitges|13.500|12.100|28.171|29|16|37.106|28.545
 Premià de Dalt|5.531|4.792|10.311|32|17|35.824|27.794
 Begues|3.654|3.219|6.620|33|18|35.727|27.780
 Castelldefels|31.823|27.878|63.255|36|19|35.070|26.872
 Barcelona|905.175|816.913|1.602.386|47|21|33.186|26.166
 Vilassar de Mar|11.047|9.867|20.185|48|22|32.850|25.933
 Masnou, El|12.783|11.336|22.742|49|23|32.832|25.878
 Caldes Estrac|1.293|1.161|2.738|50|24|32.708|26.007
 Collbató|2.388|2.085|4.427|51|25|32.644|25.759
 Vilassar de Dalt|4.817|4.273|8.882|54|27|32.467|25.479
 Castellví de Rosanes|963|853|1.760|65|30|31.392|24.896
 Sant Pol de Mar|2.696|2.406|4.997|67|31|31.323|24.926
 Palma de Cervelló, La|1.658|1.473|3.002|75|35|30.873|24.564
 Esplugues de Llobregat|25.445|22.058|46.133|76|36|30.850|24.436
 Corbera de Llobregat|7.749|6.781|14.237|78|37|30.760|24.531
 Sant Joan Despí|18.488|16.149|32.981|85|40|30.448|24.173
 Torrelles de Llobregat|3.199|2.847|5.851|87|41|30.364|24.253
 Vilanova del Vallès|2.822|2.464|5.250|88|42|30.342|24.488
 Sant Julià de Vilatorta|1.705|1.535|3.123|93|44|30.128|24.188
 Viladecavalls|3.908|3.410|7.395|96|46|29.935|24.032
 Sant Esteve Sesrovires|4.285|3.789|7.542|97|47|29.916|23.860
 Sant Fruitós de Bages|4.623|4.147|8.243|104|49|29.679|23.636
 Pallejà|6.298|5.505|11.253|107|50|29.591|23.822
 Sant Antoni de Vilamajor|3.233|2.844|5.708|109|51|29.535|23.627
 Sant Esteve de Palautordera|1.346|1.210|2.532|110|52|29.532|23.799
 Garriga, La|8.430|7.474|15.762|112|53|29.455|23.653
 Sant Iscle de Vallalta|623|542|1.304|116|54|29.368|23.525
 Cerdanyola del Vallès|31.923|27.767|57.402|119|55|29.245|23.485
 Bruc, El|1.076|946|1.991|122|56|29.176|23.455
 Molins de Rei|14.418|12.830|25.152|124|57|29.120|23.445
 Santa Coloma de Cervelló|4.451|3.963|8.038|125|58|28.985|23.150
 Canovelles|7.580|6.277|15.954|127|60|28.931|23.595
 Cervelló|5.035|4.426|8.811|130|63|28.876|23.289
 Gavà|24.531|21.077|46.326|133|64|28.576|22.850
 Argentona|6.356|5.587|11.963|134|65|28.535|23.016
 Cardedeu|9.597|8.440|17.698|135|66|28.521|22.937
 Ullastrell|1.057|950|2.056|142|69|28.341|22.885
 Sant Fost de Campsentelles|4.828|4.138|8.666|145|70|28.273|22.888
 Montgat|6.294|5.596|11.315|146|71|28.262|22.935
 Roca del Vallès, La|5.933|5.257|10.518|150|73|28.085|22.609
 Bigues i Riells|4.761|4.052|8.854|154|74|27.938|22.606
 Premià de Mar|14.770|12.767|28.163|155|75|27.920|22.609
 Olivella|1.697|1.422|3.609|156|76|27.918|22.545
 Vallgorguina|1.379|1.201|2.699|158|77|27.881|22.374
 Llinars del Vallès|4.989|4.347|9.536|159|78|27.771|22.534
 Gualba|747|665|1.429|160|79|27.725|22.759
 Sant Feliu de Llobregat|24.886|21.611|43.715|165|81|27.669|22.362
 Lliçà de Vall|3.750|3.220|6.354|167|82|27.616|22.584
 Palau|7.871|6.798|14.454|170|83|27.507|22.341
 Gelida|3.966|3.476|7.194|172|84|27.473|22.328
 Cubelles|7.571|6.533|14.481|173|85|27.472|22.533
 Sant Sadurní Anoia|7.214|6.297|12.590|180|88|27.287|22.071
 Castellar del Vallès|12.665|11.129|23.440|182|89|27.259|22.086
 Seva|1.802|1.611|3.488|186|91|27.197|21.861
 Castellnou de Bages|640|557|1.241|187|92|27.183|22.105
 Sant Llorenç Hortons|1.407|1.245|2.517|190|93|27.148|22.161
 Caldes de Montbui|9.064|8.011|17.156|191|94|27.146|21.981
 Martorelles|2.805|2.390|4.783|197|97|27.036|22.063
 Granollers|31.311|27.289|59.930|198|98|27.000|21.902
 Papiol, El|2.229|1.960|4.023|199|99|26.988|21.987
 Castellbisbal|6.639|5.772|12.434|201|100|26.957|21.971
 Sant Pere de Vilamajor|2.302|1.961|4.248|203|102|26.943|21.987
 Tona|4.343|3.833|8.012|209|105|26.845|21.852
 Abrera|6.752|5.788|12.125|210|106|26.815|21.911
 Sant Pere de Ribes|14.783|12.629|29.339|214|109|26.737|21.641
 Arenys de Mar|7.964|6.999|15.307|222|112|26.646|21.776
 Cànoves i Samalús|1.505|1.273|2.863|223|113|26.638|21.565
 Folgueroles|1.259|1.149|2.259|226|114|26.590|21.591
 Sant Climent de Llobregat|2.284|1.977|3.938|229|115|26.553|21.421
 Santpedor|4.193|3.754|7.384|230|116|26.553|21.634
 Sant Vicenç de Torelló|1.030|955|1.975|237|119|26.427|21.481
 Santa Susanna|1.601|1.414|3.293|238|120|26.425|21.633
 Olèrdola|1.943|1.705|3.579|243|121|26.385|21.487
 Vallirana|7.887|6.752|14.612|244|122|26.359|21.578
